school,close_contact,positive_case,suspected_case,total,date,cluster
Chesney ES,49.0,0.0,0.0,49,2/10/2021,Duluth
Cooper ES,0.0,0.0,2.0,2,2/10/2021,Archer
Craig ES,1.0,1.0,0.0,2,2/10/2021,Brookwood
Creekland MS,1.0,1.0,0.0,2,2/10/2021,Collins Hill
Crews MS,6.0,0.0,0.0,6,2/10/2021,Brookwood
Dacula ES,4.0,0.0,0.0,4,2/10/2021,Dacula
Dacula HS,4.0,0.0,1.0,5,2/10/2021,Dacula
Dacula MS,22.0,1.0,0.0,23,2/10/2021,Dacula
Discovery HS,4.0,0.0,0.0,4,2/10/2021,Discovery
Duluth HS,2.0,0.0,0.0,2,2/10/2021,Duluth
Duluth MS,14.0,0.0,2.0,16,2/10/2021,Duluth
Dyer ES,2.0,0.0,1.0,3,2/10/2021,Mountain View
Ferguson ES,1.0,1.0,0.0,2,2/10/2021,Meadowcreek
Five Forks MS,1.0,1.0,0.0,2,2/10/2021,Brookwood
Fort Daniel ES,1.0,0.0,0.0,1,2/10/2021,Mill Creek
Freeman's Mill ES,1.0,0.0,0.0,1,2/10/2021,Mountain View
Grace Snell MS,1.0,0.0,1.0,2,2/10/2021,South Gwinnett
Graves ES,4.0,0.0,0.0,4,2/10/2021,Meadowcreek
Grayson ES,1.0,0.0,0.0,1,2/10/2021,Grayson
Grayson HS,3.0,1.0,0.0,4,2/10/2021,Grayson
Harris ES,0.0,1.0,0.0,1,2/10/2021,Duluth
Head ES,4.0,1.0,0.0,5,2/10/2021,Brookwood
Hopkins ES,14.0,1.0,0.0,15,2/10/2021,Berkmar
Hull MS,1.0,0.0,0.0,1,2/10/2021,Peachtree Ridge
International Transition Center,3.0,0.0,0.0,3,2/10/2021,Other
Ivy Creek ES,1.0,0.0,0.0,1,2/10/2021,Mill Creek
Jackson ES,1.0,0.0,0.0,1,2/10/2021,Peachtree Ridge
Jenkins ES,2.0,0.0,0.0,2,2/10/2021,Central Gwinnett
Jordan MS,1.0,1.0,0.0,2,2/10/2021,Central Gwinnett
Knight ES,15.0,0.0,4.0,19,2/10/2021,Parkview
Lanier MS,1.0,0.0,0.0,1,2/10/2021,Lanier
Level Creek ES,1.0,0.0,0.0,1,2/10/2021,North Gwinnett
Lilburn ES,4.0,1.0,0.0,5,2/10/2021,Meadowcreek
Lilburn MS,1.0,0.0,0.0,1,2/10/2021,Meadowcreek
Lovin ES,12.0,1.0,0.0,13,2/10/2021,Archer
Magill ES,1.0,0.0,0.0,1,2/10/2021,South Gwinnett
McConnell MS,2.0,1.0,0.0,3,2/10/2021,Archer Cluster
McKendree ES,22.0,2.0,0.0,24,2/10/2021,Collins Hill
Meadowcreek ES,3.0,1.0,0.0,4,2/10/2021,Meadowcreek
Meadowcreek HS,2.0,0.0,0.0,2,2/10/2021,Meadowcreek
Mill Creek HS,1.0,1.0,0.0,2,2/10/2021,Mill Creek
Mountain View HS,2.0,0.0,1.0,3,2/10/2021,Mountain View
Norcross ES,1.0,2.0,0.0,3,2/10/2021,Norcross
Norcross HS,4.0,1.0,0.0,5,2/10/2021,Norcross
North Gwinnett HS,3.0,0.0,2.0,5,2/10/2021,North Gwinnett
North Gwinnett MS,40.0,1.0,0.0,41,2/10/2021,North Gwinnett
Northbrook MS,22.0,2.0,1.0,25,2/10/2021,Peachtree Ridge
Osborne MS,1.0,0.0,0.0,1,2/10/2021,Mill Creek
Parkview HS,2.0,0.0,0.0,2,2/10/2021,Parkview
Partee ES,5.0,1.0,1.0,7,2/10/2021,Shiloh
Patrick ES,7.0,1.0,0.0,8,2/10/2021,Mountain View
Paul Duke STEM HS,1.0,1.0,0.0,2,2/10/2021,Norcross
Peachtree ES,17.0,0.0,3.0,20,2/10/2021,Norcross
Peachtree Ridge HS,1.0,0.0,0.0,1,2/10/2021,Peachtree Ridge
Pinckneyville MS,20.0,0.0,1.0,21,2/10/2021,Norcross
Puckett's Mill ES,3.0,0.0,1.0,4,2/10/2021,Mill Creek
Radloff MS,1.0,0.0,0.0,1,2/10/2021,Meadowcreek
Richards MS,4.0,0.0,2.0,6,2/10/2021,Discovery
Riverside ES,45.0,2.0,2.0,49,2/10/2021,North Gwinnett
Rockbridge ES,0.0,0.0,3.0,3,2/10/2021,Meadowcreek
Rosebud ES,1.0,0.0,0.0,1,2/10/2021,South Gwinnett
Shiloh ES,1.0,1.0,0.0,2,2/10/2021,Shiloh
Shiloh HS,1.0,0.0,0.0,1,2/10/2021,Shiloh
Shiloh MS,8.0,0.0,1.0,9,2/10/2021,Shiloh
Simonton ES,1.0,0.0,1.0,2,2/10/2021,Central Gwinnett
Simpson ES,16.0,2.0,0.0,18,2/10/2021,Norcross
Sugar Hill ES,3.0,0.0,0.0,3,2/10/2021,Lanier
Sweetwater MS,0.0,0.0,1.0,1,2/10/2021,Berkmar
Sycamore ES,26.0,2.0,0.0,28,2/10/2021,Lanier
Taylor ES,2.0,0.0,0.0,2,2/10/2021,Collins Hill
Trip ES,12.0,1.0,0.0,13,2/10/2021,Grayson
Twin Rivers MS,17.0,0.0,1.0,18,2/10/2021,Mountain View
White Oak ES,0.0,0.0,1.0,1,2/10/2021,Lanier
Woodward Mill ES,2.0,0.0,0.0,2,2/10/2021,Mountain View
Alford ES,1.0,0.0,0.0,1,3/10/2021,Discovery
Arcado ES,8.0,1.0,0.0,9,3/10/2021,Parkview
Archer HS,13.0,0.0,0.0,13,3/10/2021,Archer
Bay Creek MS,1.0,0.0,0.0,1,3/10/2021,Grayson
Benefield ES,2.0,0.0,0.0,2,3/10/2021,Discovery
Brookwood HS,1.0,0.0,0.0,1,3/10/2021,Brookwood
Buice Center,1.0,2.0,0.0,3,3/10/2021,Other
Burnette ES,1.0,0.0,0.0,1,3/10/2021,North Gwinnett
Camp Creek ES,1.0,0.0,0.0,1,3/10/2021,Parkview
Cedar Hill ES,48.0,3.0,3.0,54,3/10/2021,Discovery
Central Gwinnett HS,1.0,0.0,0.0,1,3/10/2021,Central Gwinnett
Creekland MS,2.0,2.0,0.0,4,3/10/2021,Collins Hill
Crews MS,3.0,0.0,0.0,3,3/10/2021,Brookwood
Dacula HS,1.0,0.0,0.0,1,3/10/2021,Dacula
Discovery HS,3.0,3.0,0.0,6,3/10/2021,Discovery
Duluth HS,1.0,0.0,2.0,3,3/10/2021,Duluth
Duluth MS,0.0,0.0,1.0,1,3/10/2021,Duluth
Fort Daniel ES,0.0,1.0,0.0,1,3/10/2021,Mill Creek
GIVE East,0.0,0.0,1.0,1,3/10/2021,Other
Graves ES,2.0,0.0,1.0,3,3/10/2021,Meadowcreek
