school,close_contact,positive_case,suspected_case,total,date,cluster
Creekland MS,7.0,2.0,3.0,12,12/21/2020,Collins Hill
Crews MS,20.0,2.0,0.0,22,12/21/2020,Brookwood
Dacula ES,28.0,0.0,7.0,35,12/21/2020,Dacula
Dacula HS,12.0,3.0,3.0,18,12/21/2020,Dacula
Dacula MS,90.0,6.0,3.0,99,12/21/2020,Dacula
Discovery HS,13.0,2.0,0.0,15,12/21/2020,Discovery
Duluth HS,37.0,5.0,6.0,48,12/21/2020,Duluth
Duluth MS,30.0,1.0,5.0,36,12/21/2020,Duluth
Duncan Creek ES,26.0,4.0,0.0,30,12/21/2020,Mill Creek
Dyer ES,52.0,2.0,6.0,60,12/21/2020,Mountain View
Ferguson ES,4.0,0.0,1.0,5,12/21/2020,Meadowcreek
Five Forks MS,23.0,2.0,1.0,26,12/21/2020,Brookwood
Fort Daniel ES,35.0,3.0,0.0,38,12/21/2020,Mill Creek
Freeman's Mill ES,24.0,0.0,2.0,26,12/21/2020,Mountain View
GIVE East,4.0,1.0,1.0,6,12/21/2020,Other
GIVE West,0.0,0.0,1.0,1,12/21/2020,Other
Grace Snell MS,13.0,5.0,3.0,21,12/21/2020,South Gwinnett
Graves ES,7.0,2.0,2.0,11,12/21/2020,Meadowcreek
Grayson ES,9.0,0.0,0.0,9,12/21/2020,Grayson
Grayson HS,22.0,3.0,2.0,27,12/21/2020,Grayson
Gwin Oaks ES,6.0,1.0,0.0,7,12/21/2020,Brookwood
Gwinnett Online Campus,0.0,0.0,0.0,0,12/21/2020,Other
"Gwinnett School of Mathematics, Science, and Technology",3.0,0.0,0.0,3,12/21/2020,Discovery
Harbins ES,45.0,1.0,2.0,48,12/21/2020,Archer
Harmony ES,19.0,0.0,1.0,20,12/21/2020,Mill Creek
Harris ES,40.0,3.0,0.0,43,12/21/2020,Duluth
Head ES,4.0,0.0,0.0,4,12/21/2020,Brookwood
Hopkins ES,14.0,0.0,1.0,15,12/21/2020,Berkmar
Hull MS,7.0,0.0,0.0,7,12/21/2020,Peachtree Ridge
International Transition Center,2.0,0.0,0.0,2,12/21/2020,Other
Ivy Creek ES,29.0,2.0,3.0,34,12/21/2020,Mill Creek
Jackson ES,6.0,1.0,1.0,8,12/21/2020,Peachtree Ridge
Jenkins ES,7.0,2.0,0.0,9,12/21/2020,Central Gwinnett
Jones MS,20.0,0.0,0.0,20,12/21/2020,Mill Creek
Jordan MS,19.0,1.0,4.0,24,12/21/2020,Central Gwinnett
Kanoheda ES,2.0,0.0,2.0,4,12/21/2020,Berkmar
Knight ES,22.0,0.0,5.0,27,12/21/2020,Parkview
Lanier HS,100.0,10.0,7.0,117,12/21/2020,Lanier
Lanier MS,44.0,3.0,1.0,48,12/21/2020,Lanier
Lawrenceville ES,8.0,1.0,1.0,10,12/21/2020,Central Gwinnett
Level Creek ES,12.0,1.0,0.0,13,12/21/2020,North Gwinnett
Lilburn ES,3.0,2.0,0.0,5,12/21/2020,Meadowcreek
Lilburn MS,23.0,2.0,6.0,31,12/21/2020,Meadowcreek
Lovin ES,21.0,1.0,1.0,23,12/21/2020,Archer
Magill ES,4.0,0.0,0.0,4,12/21/2020,South Gwinnett
Mason ES,27.0,3.0,1.0,31,12/21/2020,Peachtree Ridge
Maxwell,2.0,1.0,1.0,4,12/21/2020,Other
McClure Health Science HS,3.0,1.0,0.0,4,12/21/2020,Meadowcreek
McConnell MS,20.0,3.0,0.0,23,12/21/2020,Archer Cluster
McKendree ES,0.0,1.0,0.0,1,12/21/2020,Collins Hill
Meadowcreek ES,0.0,1.0,1.0,2,12/21/2020,Meadowcreek
Meadowcreek HS,27.0,4.0,6.0,37,12/21/2020,Meadowcreek
Mill Creek HS,198.0,15.0,0.0,213,12/21/2020,Mill Creek
Minor ES,46.0,0.0,4.0,50,12/21/2020,Berkmar
Moore MS,7.0,1.0,0.0,8,12/21/2020,Central Gwinnett
Mountain Park ES,0.0,0.0,0.0,0,12/21/2020,Parkview
Mountain View HS,22.0,2.0,2.0,26,12/21/2020,Mountain View
Mulberry ES,8.0,0.0,0.0,8,12/21/2020,Dacula
Nesbit ES,20.0,0.0,1.0,21,12/21/2020,Meadowcreek
Norcross ES,2.0,1.0,1.0,4,12/21/2020,Norcross
Norcross HS,57.0,2.0,2.0,61,12/21/2020,Norcross
North Gwinnett HS,68.0,7.0,11.0,86,12/21/2020,North Gwinnett
North Gwinnett MS,112.0,8.0,9.0,129,12/21/2020,North Gwinnett
Northbrook MS,4.0,1.0,1.0,6,12/21/2020,Peachtree Ridge
Norton ES,4.0,0.0,0.0,4,12/21/2020,South Gwinnett
Oakland Meadow School,6.0,1.0,0.0,7,12/21/2020,Other
Osborne MS,88.0,4.0,1.0,93,12/21/2020,Mill Creek
Parkview HS,7.0,3.0,3.0,13,12/21/2020,Parkview
Parsons ES,1.0,2.0,0.0,3,12/21/2020,Peachtree Ridge
